player,age,elo,hardraw,clayraw,grassraw,hard-court-elo-rating,clay-court-elo-rating,grass-court-elo-rating,peak-age,peak-elo,gender
Daniela Vismane,21.3,1528.1,1431.6,1451.7,1500,1479.8,1489.9,1514.1,21.3,1569.5,Female
Irina Maria Bara,26.7,1526.6,1297.2,1500.2,1266,1411.9,1513.4,1396.3,25.6,1616.8,Female
Usue Maitane Arconada,23,1523.6,1501.6,1199.5,1301.7,1512.6,1361.6,1412.7,20.8,1607.1,Female
Hailey Baptiste,20,1522.9,1342.4,1524.8,1514.4,1432.6,1523.8,1518.6,19.8,1647.8,Female
Veronica Cepede Royg,29.8,1519.6,1442.5,1510.8,1333.5,1481.1,1515.2,1426.5,19,1694.2,Female
Paula Ormaechea,29.1,1518.6,1340,1497,1227.8,1429.3,1507.8,1373.2,20.6,1771.5,Female
Irina Khromacheva,26.5,1516.9,1389.8,1490.6,1347.5,1453.4,1503.7,1432.2,21.4,1632.9,Female
Oksana Selekhmeteva,18.9,1512,1366.3,1507,-,1439.1,1509.5,1431,18.8,1581.3,Female
Mariam Bolkvadze,23.9,1512,1498.9,1261.7,1083.7,1505.4,1386.8,1297.8,23.7,1590.6,Female
Andrea Lazaro Garcia,27,1510.1,1318.4,1458.6,-,1414.3,1484.3,1430.1,27,1553.1,Female
Kristie Ahn,29.2,1507.9,1482,1278.2,1487.9,1494.9,1393.1,1497.9,27.3,1701.9,Female
Victoria Jimenez Kasintseva,16.3,1506.1,1285.8,1513.1,1500,1395.9,1509.6,1503,16.3,1567.5,Female
Mai Hontama,22.2,1502.4,1454.3,1072.3,-,1478.4,1287.4,1426.2,22.1,1529.2,Female
Tamara Korpatsch,26.6,1501.9,1312.2,1520,1277.5,1407.1,1511,1389.7,24.5,1637,Female
Viktoriya Tomova,26.8,1501.7,1406.3,1479.7,1351,1454,1490.7,1426.4,22.6,1605,Female
Alexandra Cadantu,31.5,1501.3,1367.2,1482.6,1061.8,1434.3,1492,1281.6,21.2,1669.2,Female
Lucia Bronzetti,23,1500.7,1358.3,1474.5,-,1429.5,1487.6,1425.4,22.8,1598.2,Female
Arianne Hartono,25.7,1500.3,1480.8,1313.7,1273.4,1490.5,1407,1386.9,25.6,1525.2,Female
Ekaterine Gorgodze,30,1499.5,1230,1507.6,1424.2,1364.7,1503.5,1461.8,29.6,1551.6,Female
Valentini Grammatikopoulou,24.9,1496.4,1436.8,1398.6,1281.8,1466.6,1447.5,1389.1,21.3,1619.9,Female
Linda Fruhvirtova,16.6,1493.1,1429.4,1382.9,1500,1461.2,1438,1496.5,16.6,1540.1,Female
Georgina Garcia Perez,29.1,1490.7,1408.6,1451.3,1304.1,1449.7,1471,1397.4,26.3,1646,Female
Jana Fett,25.1,1489,1392.7,1379.3,1425.7,1440.8,1434.1,1457.4,20.6,1701.2,Female
Ellen Perez,25.9,1488.2,1352.4,1351.3,1384.9,1420.3,1419.8,1436.6,23,1528.6,Female
Katarzyna Kawa,29,1487.9,1356.4,1462.7,1360.1,1422.1,1475.3,1424,28,1588.7,Female
Cagla Buyukakcay,32,1483.7,1411.2,1453.9,995.3,1447.4,1468.8,1239.5,26.7,1647.5,Female
Tara Wurth,18.8,1479.9,1230,1426.8,-,1355,1453.4,1415,18.8,1497,Female
Lizette Cabrera,23.9,1478.4,1427.4,1181.2,1254.4,1452.9,1329.8,1366.4,21.9,1534.2,Female
Federica Di Sarra,31.4,1477.5,1295.9,1431.8,-,1386.7,1454.7,1413.8,31.4,1492.7,Female
Fernanda Contreras Gomez,24.2,1475.5,1348.3,1554.8,1500,1411.9,1515.2,1487.8,22.3,1636.8,Female
Ylena In Albon,22.8,1473.2,1506.8,1267.8,1245.6,1490,1370.5,1359.4,20.6,1556.9,Female
Dalayna Hewitt,20.9,1472.4,1422,1230,-,1447.2,1351.2,1411.2,20.9,1492.6,Female
Victoria Duval,25.9,1471.7,1432.9,1394.3,1374.5,1452.3,1433,1423.1,18.5,1726.5,Female
Isabella Shinikova,30.2,1471.1,1472.9,1240.8,1191.6,1472,1355.9,1331.3,28,1571.3,Female
Ane Mintegi Del Olmo,18.1,1469.8,1466.1,1326.4,-,1467.9,1398.1,1409.9,18.1,1496.2,Female
Katie Swan,22.4,1467.9,1362.1,1383.9,1345.2,1415,1425.9,1406.5,20.3,1538.5,Female
Giulia Gatto Monticone,33.9,1467.5,1464.9,1353.8,1425.1,1466.2,1410.7,1446.3,31.6,1619.3,Female
Elvina Kalieva,18.3,1467,1418.6,1194.5,-,1442.8,1330.8,1408.5,18.2,1506.8,Female
Arina Rodionova,31.9,1466.9,1396.1,1171,1507.2,1431.5,1318.9,1487,27.6,1558.8,Female
Louisa Chirico,25.4,1463.9,1414.6,1371.5,1189,1439.2,1417.7,1326.4,20.4,1715.7,Female
Grace Min,27.5,1463.6,1387.7,1446.6,1285.6,1425.6,1455.1,1374.6,20.2,1751.2,Female
Katrina Scott,17.4,1463.5,1400.4,1266.6,-,1432,1365,1406.8,17.1,1515.9,Female
Chloe Paquet,27.4,1463.5,1361.6,1382.3,1260,1412.5,1422.9,1361.8,25.3,1487.6,Female
Caroline Dolehide,23.1,1463.3,1420.5,1367.9,1296.9,1441.9,1415.6,1380.1,19.9,1694.6,Female
Maddison Inglis,23.8,1462.6,1433.8,1317.3,1181.9,1448.2,1389.9,1322.2,23.7,1528.4,Female
Katie Volynets,19.8,1461.7,1283.4,1514.8,1383.1,1372.6,1488.3,1422.4,19.5,1597,Female
Lisa Pigato,18.3,1460.4,1399,1377,1500,1429.7,1418.7,1480.2,17.9,1594.2,Female
Asia Muhammed,30.6,1456.5,1373.8,1320.6,1347,1415.1,1388.5,1401.8,25.8,1575.8,Female
Urszula Radwanska,30.9,1456.2,1397.1,1400.8,1415.9,1426.6,1428.5,1436.1,22.5,1789,Female
Mayo Hibi,25.6,1456,1389.6,1216.7,1312,1422.8,1336.3,1384,17.5,1596.5,Female
Jamie Loeb,26.5,1455.1,1437.8,1323.4,1243.9,1446.5,1389.2,1349.5,22.9,1580,Female
Katharina Hobgarski,24.2,1453.5,1388.7,1379.2,1183.5,1421.1,1416.4,1318.5,22.3,1511.9,Female
Despina Papamichail,28.7,1452.9,1284.3,1436,1211.8,1368.6,1444.5,1332.4,20.6,1496.3,Female
Allie Kiick,26.3,1452.5,1350.9,1492.2,1202.8,1401.7,1472.3,1327.6,19.8,1653.7,Female
Jessika Ponchet,25.2,1451.9,1422.6,1288.6,1251.8,1437.2,1370.2,1351.8,23,1554.7,Female
Varvara Flink,24.6,1448.7,1418.7,1322.6,1480.3,1433.7,1385.6,1464.5,20.6,1641.4,Female
Dalila Jakupovic,30.5,1447.9,1407.8,1316.1,1450.1,1427.8,1382,1449,27.2,1658.3,Female
Emina Bektas,28.6,1446.9,1384.1,1151.1,-,1415.5,1299,1398.4,24.5,1538,Female
Marcela Zacarias,27.6,1446.7,1395,1317.3,1500,1420.9,1382,1473.3,18.1,1692.2,Female
Emma Navarro,20.4,1446,1258.8,1424.2,-,1352.4,1435.1,1398,17.9,1475,Female
Simona Waltert,20.9,1445.6,1371.1,1341.2,1432.3,1408.4,1393.4,1439,20.4,1538.7,Female
Julia Grabher,25.4,1444.8,1234.6,1415,1294.1,1339.7,1429.9,1369.4,24.9,1494,Female
Na Lae Han,29.5,1444.6,1411.7,1165.1,1228.8,1428.2,1304.9,1336.7,27.1,1479.1,Female
Giuliana Olmos,28.1,1441.6,1379.3,1362.1,1500,1410.4,1401.9,1470.8,17.1,1515.7,Female
Francesca Di Lorenzo,24.3,1440.2,1368.1,1389.3,1188,1404.1,1414.7,1314.1,22.2,1631.9,Female
Olivia Gadecki,19.4,1439.6,1408.2,1347.4,1500,1423.9,1393.5,1469.8,18.8,1564.7,Female
Richel Hogenkamp,29.4,1437.7,1410.5,1400.7,1332.9,1424.1,1419.2,1385.3,25.1,1692,Female
Jessica Pieri,24.5,1437.6,1233.9,1407.9,1270.8,1335.8,1422.8,1354.2,24,1577.8,Female
Hanna Chang,23.7,1434.3,1326.3,1375.6,-,1380.3,1405,1392.2,23.6,1460.6,Female
Seone Mendez,22.5,1431.6,1098.2,1447.2,-,1264.9,1439.4,1390.8,22.4,1469.7,Female
Tereza Mrdeza,30.9,1430.4,1281.4,1410.7,1073.3,1355.9,1420.6,1251.8,22.4,1551,Female
Amandine Hesse,28.8,1429.4,1385.5,1336,1212.4,1407.5,1382.7,1320.9,23,1523.5,Female
Kimberly Birrell,22.8,1428.7,1419.3,1198.6,1069.7,1424,1313.7,1249.2,20.8,1486.5,Female
Yuliya Hatouka,21.6,1427.3,1386.4,1185.5,1304.5,1406.9,1306.4,1365.9,21.6,1441.7,Female
Yue Yuan,30.4,1424.6,1376,1227,-,1400.3,1325.8,1387.3,29.5,1467.5,Female
Anastasia Tikhonova,20.8,1424.4,1363.2,1230,-,1393.8,1327.2,1387.2,20.8,1446.2,Female
Sujeong Jang,26.5,1423.6,1230,1386.3,-,1326.8,1405,1386.8,26.4,1472.6,Female
Anastasia Zakharova,19.9,1423.4,1415.1,1211.7,-,1419.3,1317.6,1386.7,19.7,1489.5,Female
Nikola Bartunkova,15.5,1423.1,1230,1354.5,-,1326.5,1388.8,1386.5,15.3,1457.2,Female
Cristiana Ferrando,26.2,1421.8,1342.8,1345.6,-,1382.3,1383.7,1385.9,26.1,1453.6,Female
Susan Bandecchi,23.3,1421.8,1337.6,1356.9,1214.1,1379.7,1389.3,1317.9,22.9,1518.8,Female
Kathinka Von Deichmann,27.4,1419.3,1417.5,1330.8,1190.1,1418.4,1375,1304.7,24.3,1582.6,Female
Sophie Chang,24.4,1418.4,1383.8,1305.2,-,1401.1,1361.8,1384.2,24.2,1473.3,Female
Reka Luca Jani,30.4,1418.1,1269.5,1400.6,1081.6,1343.8,1409.3,1249.8,20.5,1528.9,Female
Katherine Sebov,22.8,1417.6,1375.2,1164,1435.9,1396.4,1290.8,1426.7,19.1,1588.1,Female
Raluca Georgiana Serban,24.4,1417.5,1334.1,1359.3,1255.6,1375.8,1388.4,1336.5,24.4,1461.4,Female
Conny Perrin,30.9,1417.2,1343.1,1362.4,1413.5,1380.1,1389.8,1415.3,28.5,1541.6,Female
Emiliana Arango,21,1416.7,1202,1402.3,1500,1309.4,1409.5,1458.4,17.2,1520.2,Female
Lucrezia Stefanini,23.4,1416.1,1305.4,1386.4,-,1360.7,1401.2,1383,23.3,1453.3,Female
Lina Gjorcheska,27.2,1414.5,1254.5,1455.8,1403.5,1334.5,1435.2,1409,22.7,1559.4,Female
Estela Perez Somarriba,23.1,1414.5,1459.4,1162.6,-,1437,1288.6,1382.3,23,1505,Female
Yuriko Miyazaki,26,1413.1,1379.7,1241.7,1225.1,1396.4,1327.4,1319.1,26,1426.3,Female
Andrea Gamiz,28.9,1409.9,1454.7,1334.7,1500,1432.3,1372.3,1454.9,18.6,1696.5,Female
Jia Jing Lu,32,1408.8,1388.1,1171.1,1062.3,1398.5,1289.9,1235.6,31.1,1487.1,Female
Lina Glushko,21.9,1407.7,1321.4,1504,1500,1364.5,1455.8,1453.8,19.1,1579,Female
Elsa Jacquemot,18.6,1405.9,1331.3,1293.2,-,1368.6,1349.6,1377.9,18.5,1430.2,Female
Mallaurie Noel,27,1404,1377,1109.3,-,1390.5,1256.7,1377,27,1416.2,Female
Daniela Seguel,29,1399.8,1420.8,1340.8,1196.8,1410.3,1370.3,1298.3,25.5,1591.2,Female
Marina Melnikova,32.6,1399.4,1253.2,1348.5,1355.3,1326.3,1374,1377.3,30,1444.4,Female
Eva Guerrero Alvarez,22.1,1399,1208.4,1362,1272.3,1303.7,1380.5,1335.7,21.6,1485.2,Female
Tessah Andrianjafitrimo,23,1398.3,1281.6,1341.8,1500,1340,1370,1449.2,17.9,1536.4,Female
Ellie Douglas,21.4,1397.8,1362.8,1151.5,-,1380.3,1274.7,1373.9,21.4,1429.2,Female
Stephanie Wagner,27.1,1397.4,1349,1324.1,-,1373.2,1360.8,1373.7,24.8,1417.1,Female
Aldila Sutjiadi,26.6,1395.2,1358.8,1269.2,1500,1377,1332.2,1447.6,22.8,1749.9,Female
Catherine Harrison,27.6,1395.2,1376.8,1021.5,-,1386,1208.3,1372.6,25.8,1421.7,Female
Natalija Kostic,27.3,1395,1380,1286.4,1187.2,1387.5,1340.7,1291.1,25.2,1549.4,Female
Kimberley Zimmermann,25.8,1394.5,1405.2,1298.4,1232.1,1399.8,1346.4,1313.3,23,1538.2,Female
Alycia Parks,20.8,1393.7,1256.1,1402.2,-,1324.9,1398,1371.9,20.3,1513.1,Female
Laura Ioana Andrei,33,1390.4,1318.8,1346,-,1354.6,1368.2,1370.2,32.7,1490.6,Female
Ena Shibahara,23.6,1388.2,1325.1,1338.6,-,1356.7,1363.4,1369.1,21.5,1473.5,Female
Jaimee Fourlis,22,1387.7,1223.5,1462.1,1151.9,1305.6,1424.9,1269.8,19.9,1546,Female
Reese Brantmeier,17.1,1387.5,1345.9,1127.7,-,1366.7,1257.6,1368.7,17,1445.8,Female
Destanee Aiava,21.1,1387.3,1338.6,1330.7,1244.9,1363,1359,1316.1,17.9,1564.6,Female
Gabriela Talaba,26.3,1386.5,1328,1334.2,1277.7,1357.3,1360.4,1332.1,25.2,1455.8,Female
Chihiro Muramatsu,23.4,1385.9,1337.3,1329.3,1173.3,1361.6,1357.6,1279.6,22.3,1443.7,Female
Gabriela Ce,28.5,1384.9,1178.1,1377.6,1500,1281.5,1381.3,1442.4,21.6,1489.9,Female
Mirjam Bjorklund,23.2,1378.7,1228.8,1370.3,1500,1303.7,1374.5,1439.3,20.9,1499.2,Female
Anna Zaja,30.2,1375.6,1274.5,1343.8,1245.7,1325,1359.7,1310.6,27.1,1535.9,Female
Martina Di Giuseppe,30.8,1375.1,1222.2,1336.3,1225,1298.7,1355.7,1300.1,28.4,1507.3,Female
Xiaodi You,25.5,1373.9,1320.1,1287.3,1259.5,1347,1330.6,1316.7,23.4,1442.3,Female
Elitsa Kostova,31.3,1372.4,1315.6,1335,1256.8,1344,1353.7,1314.6,18.4,1540.5,Female
Carol Zhao,26.5,1370.1,1305.2,1313.6,1105,1337.7,1341.9,1237.6,22.4,1489.5,Female
Iryna Shymanovich,24.5,1360.8,1297.3,1312.8,-,1329,1336.8,1355.4,22.1,1410.1,Female
Samantha Murray,34,1360.7,1312.4,1050.7,1278.1,1336.6,1205.7,1319.4,23.7,1471.8,Female
Valeria Savinykh,30.6,1359.1,1338.4,1226.8,1273.4,1348.8,1293,1316.2,20.8,1599.8,Female
Carolina Meligeni Rodrigues Alves,25.6,1358.3,1190.5,1348.6,-,1274.4,1353.4,1354.1,23.5,1396.1,Female
Sada Nahimana,20.5,1357.7,1255.2,1300,-,1306.5,1328.8,1353.9,20.4,1400.8,Female
Ylona Georgiana Ghioroaie,23.7,1351.9,1282.4,1244.2,-,1317.1,1298.1,1351,20,1373.7,Female
Ankita Raina,28.9,1351.2,1298.6,1264.4,1079.2,1324.9,1307.8,1215.2,25.3,1450.6,Female
Yana Morderger,24.5,1351,1235.7,1319.4,-,1293.4,1335.2,1350.5,24.3,1395.6,Female
Marie Benoit,26.6,1348.7,1266.4,1322.9,1281.9,1307.5,1335.8,1315.3,26.1,1434.7,Female
Maria Mateas,22.3,1348.3,1175.4,1413.3,1500,1261.8,1380.8,1424.1,18.3,1514.9,Female
Anna Danilina,26.3,1347.9,1220.5,1353.3,1266.7,1284.2,1350.6,1307.3,25,1406.5,Female
Yuki Naito,20.8,1347.9,1289.8,1151.5,-,1318.8,1249.7,1348.9,20,1404.7,Female
Ekaterina Shalimova,21.1,1347.5,1314.3,1230,-,1330.9,1288.7,1348.7,21.1,1384,Female
Bianca Turati,24.4,1345.7,1354.7,1252.8,-,1350.2,1299.3,1347.9,23.8,1525.9,Female
Audrey Albie,27.1,1338.7,1350.2,1072.2,-,1344.4,1205.4,1344.3,24.2,1530.9,Female
Suzan Lamens,22.2,1334.7,1230,1306.2,-,1282.4,1320.5,1342.4,22,1382.8,Female
Sarah Beth Askew,26.2,1332.1,1342.3,1296.3,1085.6,1337.2,1314.2,1208.9,26.1,1369.6,Female
Ekaterina Kazionova,22.9,1331.5,1286.5,1230,-,1309,1280.7,1340.7,22.9,1338.5,Female
Ulrikke Eikeri,29,1331.4,1267.4,1287.5,1396.4,1299.4,1309.4,1363.9,16.4,1667.8,Female
Jodie Anna Burrage,22.3,1326.7,1350.4,1191.7,1031.9,1338.5,1259.2,1179.3,19.9,1337.6,Female
Lois Boisson,18.4,1326.1,1074.7,1353.3,-,1200.4,1339.7,1338.1,18.1,1431.5,Female
Indy De Vroome,25.4,1324,1282.7,1036.3,1341.9,1303.3,1180.2,1333,23.7,1478.7,Female
Quinn Gleason,27,1322.9,1287.6,1192.1,-,1305.3,1257.5,1336.5,24.8,1414.5,Female
Jessica Bouzas Maneiro,19.1,1316.6,1211,1319.4,-,1263.8,1318,1333.3,18.9,1366.5,Female
Miriam Bianca Bulgaru,22.8,1316.1,1230,1269.3,-,1273.1,1292.7,1333.1,22.8,1327.7,Female
Angela Fita Boluda,22.2,1315.6,1268.9,1264.3,-,1292.2,1289.9,1332.8,22.2,1351.9,Female
Camilla Rosatello,26.3,1314.5,1093.3,1282,-,1203.9,1298.3,1332.3,22.2,1458.9,Female
Maria Lourdes Carle,21.8,1314,1193.3,1287.5,-,1253.7,1300.7,1332,21.8,1354.3,Female
Ashlyn Krueger,17.5,1313.3,1237.9,1459.4,1500,1275.6,1386.4,1406.7,17,1482.2,Female
Lena Rueffer,23.1,1310.2,1062.5,1315.3,1275.4,1186.3,1312.7,1292.8,19.7,1388.4,Female
Marina Bassols Ribera,21.9,1310.1,1061.7,1317.1,-,1185.9,1313.6,1330.1,21.6,1398.5,Female
Katharina Gerlach,23.7,1308.3,1062.9,1281.8,1203.4,1185.6,1295,1255.8,23.4,1346.3,Female
Martina Caregaro,29.4,1307.6,1236.8,1218.1,1280.5,1272.2,1262.8,1294,18.1,1413.7,Female
Andreea Prisacariu,21.7,1301.1,1206.9,1275.3,-,1254,1288.2,1325.5,18.4,1330.8,Female
Guiomar Maristany Zuleta De Reales,22.7,1300.7,1233.5,1238.2,-,1267.1,1269.4,1325.4,19.6,1333,Female
Leonie Kung,21.1,1298.7,1310.9,1153.6,1242.4,1304.8,1226.2,1270.5,20.4,1554.2,Female
Laura Pigossi,27.3,1298.6,1183.8,1255,-,1241.2,1276.8,1324.3,27.3,1309.3,Female
Irene Burillo Escorihuela,24.3,1298,1391.8,1188.4,1241.2,1344.9,1243.2,1269.6,23.9,1421.3,Female
Whitney Osuigwe,19.5,1297,1295.5,1297.8,1072.5,1296.3,1297.4,1184.8,16.3,1686.6,Female
Margot Yerolymos,24.2,1295.4,1184.3,1221,-,1239.9,1258.2,1322.7,23.4,1333.9,Female
Naiktha Bains,23.9,1290.8,1215.2,1201.4,1250.1,1253,1246.1,1270.5,21.5,1385.6,Female
Dominika Salkova,17.2,1289.9,1167.1,1296.9,-,1228.5,1293.4,1320,17.2,1306.5,Female
Tara Moore,29.2,1287.1,1214.2,974.3,1320.1,1250.6,1130.7,1303.6,24.3,1520.2,Female
Chanelle Van Nguyen,27.8,1285.8,1295.8,1100,-,1290.8,1192.9,1317.9,27.7,1337.3,Female
Robin Montgomery,17.3,1283.4,1260.3,1161.4,-,1271.8,1222.4,1316.7,16.9,1327.9,Female
Kamilla Bartone,19.3,1280.8,1230,1256.8,-,1255.4,1268.8,1315.4,19.1,1320.4,Female
Alice Rame,23.8,1274.4,1145.6,1248.9,-,1210,1261.7,1312.2,21.8,1362.5,Female
Anna Kubareva,20.6,1272.9,1299.2,1128.8,-,1286.1,1200.9,1311.5,20.4,1360.7,Female
Peangtarn Plipuech,29.1,1271.5,1216.5,1248.5,1263.1,1244,1260,1267.3,26.5,1395.9,Female
Estelle Cascino,25.6,1263.1,1228.7,1220,-,1245.9,1241.6,1306.6,25.6,1271.1,Female
Lulu Radovcic,20.5,1253.5,1280.5,1144.7,-,1267,1199.1,1301.8,20.5,1294.7,Female
Tena Lukas,26.4,1253.3,1185.2,1222.9,-,1219.3,1238.1,1301.6,23.2,1489,Female
Carole Monnet,19.9,1251.9,1005.7,1341.2,-,1128.8,1296.6,1301,19.7,1333.8,Female
Weronika Falkowska,21.4,1248.6,1109.8,1242.4,-,1179.2,1245.5,1299.3,21.1,1288.7,Female
Barbara Gatica,25.3,1247.6,1035.3,1252.4,1500,1141.5,1250,1373.8,20.5,1401.9,Female
Ipek Oz,22.2,1246.6,910.2,1319.7,-,1078.4,1283.2,1298.3,22.2,1264.2,Female
Maria Gutierrez Carrasco,24.1,1245.3,1099.9,1277.2,-,1172.6,1261.2,1297.6,24,1326.4,Female
Karman Thandi,23.4,1241.3,1180.6,1288.3,-,1211,1264.8,1295.7,20.1,1379.6,Female
Ana Sofia Sanchez,27.6,1240.8,1288.3,1141.2,1500,1264.5,1191,1370.4,18,1551.5,Female
Irina Fetecau,25.4,1238.2,1137.6,1214.3,1280.7,1187.9,1226.2,1259.4,25.3,1276.3,Female
Makoto Ninomiya,27.3,1237.1,1133.6,1230,1330.9,1185.3,1233.5,1284,18,1356.3,Female
Vivian Heisen,27.8,1235.3,1156,1117.6,1276.1,1195.6,1176.4,1255.7,23.6,1284,Female
Leolia Jeanjean,26.3,1227.5,1040.6,1365.2,-,1134.1,1296.4,1288.8,25.9,1364.2,Female
Monika Kilnarova,21.9,1218.2,1135.6,1192.6,-,1176.9,1205.4,1284.1,21.9,1247.8,Female
Alice Robbe,21.6,1211.4,1223.7,1122.6,-,1217.5,1167,1280.7,21.5,1295.7,Female
Valeriya Strakhova,26.5,1202.1,1150.3,1128.1,-,1176.2,1165.1,1276.1,21.2,1278.9,Female
Nagi Hanatani,26.7,1191.6,1141.3,1271.9,-,1166.5,1231.8,1270.8,24.7,1322,Female
Amina Anshba,22.1,1182.9,1093.5,1167.1,-,1138.2,1175,1266.5,21.9,1247.2,Female
Peyton Stearns,20,1162.2,1142.7,1160.7,-,1152.5,1161.4,1256.1,16.8,1188.3,Female
Olivia Tjandramulia,24.6,1112.5,1038.9,1070.2,1305.8,1075.7,1091.3,1209.2,18.5,1265.3,Female
Eden Silva,25.5,1094.4,926.2,1072.1,1153.7,1010.3,1083.3,1124.1,21.2,1228.7,Female
Riya Bhatia,24.2,1058.4,1028.8,1150.1,1245.3,1043.6,1104.3,1151.9,20.2,1196.3,Female
Anna Siskova,20.4,1035.9,1227.6,972.5,-,1131.8,1004.2,1193,15,1169,Female
Ekaterina Yashina,28.2,1032.1,1057.5,908.5,1325.5,1044.8,970.3,1178.8,18,1229.3,Female
